time,switch_id,gfe,g_usip,rfip,disp_pakt,disp_byte,mean_pkt,mean_byte,gsp,avg_durat,avg_flow_dst,rate_pkt_in,disp_interval,label
"02/04/2023, 13:58:34",1,32,31,0,0,0,0,0,31,516419354.83871,31,12.6666666666667,715555554840000,1
"02/04/2023, 13:58:37",1,31,31,0,0,0,0,0,31,2.58E+17,62,28,1368986862377320,1
"02/04/2023, 13:58:40",1,0,0,0,0,0,0,0,0,5.22E+17,62,31,1392636418386990,1
"02/04/2023, 13:58:43",1,25,25,0,0,0,0,0,25,3.82E+17,87,45,3318550436378584,1
"02/04/2023, 13:58:46",1,0,0,0,0,0,0,0,0,4.92E+17,87,46.3333333333333,3318550436378584,1
"02/04/2023, 13:58:49",1,29,29,0,0,0,0,0,29,3.71E+17,116,59.6666666666667,5365141576638639,1
"02/04/2023, 13:58:52",1,0,0,0,0,0,0,0,0,4.38E+17,116,61.6666666666667,5365141576638639,1
"02/04/2023, 13:58:55",1,32,32,0,0,0,0,0,32,3.47E+17,148,74.6666666666667,5427830765362119,1
"02/04/2023, 13:58:58",1,49,49,0,0,0,0,0,49,2.83E+17,197,94.6666666666667,9.04893798210058E+015,1
"02/04/2023, 13:59:01",1,47,47,0,0,0,0,0,47,4.24E+17,244,112.666666666667,7311114530208572,1
"02/04/2023, 13:59:04",1,54,54,0,0,0,0,0,54,4.90E+17,298,135,5991157390601026,1
"02/04/2023, 13:59:07",1,42,42,0,0,0,0,0,42,5.62E+17,340,153.666666666667,5321951641739942,1
"02/04/2023, 13:59:10",1,43,43,0,0,0,0,0,43,5.82E+17,383,171.666666666667,4735437659815973,1
"02/04/2023, 13:59:13",1,0,0,0,0,0,0,0,0,6.59E+17,383,175.666666666667,4731860455727008,1
"02/04/2023, 13:59:16",1,0,0,0,0,0,0,0,0,6.55E+17,383,179,4731860455727009,1
"02/04/2023, 13:59:19",1,49,49,0,0,0,0,0,49,5.94E+17,432,198.333333333333,4638454669098228,1
"02/04/2023, 13:59:22",1,283,283,0.299300699300699,0,0,0,0,283,3.85E+17,715,286,3667090286566650,1
"02/04/2023, 13:59:25",1,575,575,0.6,0,0,0,0,575,2.63E+17,1290,478.333333333333,6178171662120936,1
"02/04/2023, 13:59:28",1,543,543,0.708128750681942,0,0,0,0,543,3.43E+17,1833,659.333333333333,7098682910376431,1
"02/04/2023, 13:59:32",1,542,542,0.766315789473684,0,0,0,0,542,3.67E+17,2375,839.333333333333,7674868277326079,1
"02/04/2023, 13:59:35",1,544,544,0.803699897225077,0,0,0,0,544,3.71E+17,2919,1020.33333333333,7619637222707499,1
"02/04/2023, 13:59:38",1,545,545,0.829676674364896,0,0,0,0,545,3.88E+17,3464,1201.66666666667,7453703927403704,1
"02/04/2023, 13:59:41",1,778,778,0.843941537010844,0,0,0,0,778,3.85E+17,4242,1465,7007730692289910,1
"02/04/2023, 13:59:45",1,761,761,0.823106136318209,0,0,0,0,761,3.98E+17,5003,1743,6595299578175909,1
"02/04/2023, 13:59:49",1,301,301,0.810331825037707,0,0,0,0,301,4.88E+17,5304,1972,7283200870469151,1
"02/04/2023, 13:59:56",1,583,583,0.766774248343808,0,0,0,0,583,4.62E+17,5887,2246.66666666667,7513103239629832,1
"02/04/2023, 14:00:06",1,423,423,0.753724247226624,0,0,0,0,423,4.41E+17,6310,2464.66666666667,7588035468827357,1
"02/04/2023, 14:00:14",1,255,255,0.748514851485149,0,0,0,0,255,4.71E+17,6565,2637.33333333333,7806967419359050,1
"02/04/2023, 14:00:25",1,251,251,0.740316901408451,0,0,0,0,251,4.94E+17,6816,2830,8922881145721211,1
"02/04/2023, 14:00:49",1,318,318,0.734510793383796,0,0,0,0,318,4.95E+17,7134,3060.33333333333,9.49037498078065E+015,1
"02/04/2023, 14:00:59",1,95,95,0.733988103472126,0,0,0,0,95,5.03E+17,7229,3125.33333333333,9.58637571395278E+015,1
"02/04/2023, 14:01:42",1,225,225,0.722565065736517,0,0,0,0,225,4.87E+17,7454,3316,9.93009834918609E+015,1
"02/04/2023, 14:01:49",1,279,279,0.710720289667658,0,0,0,0,279,5.02E+17,7733,3480,9.49306627561208E+015,1
"02/04/2023, 14:01:54",1,138,138,0.707661034176089,0,0,0,0,138,4.67E+17,7871,3562,1.01E+16,1
"02/04/2023, 14:01:59",1,1132,1132,0.66555592580251,0,0,0,0,1132,4.20E+17,9003,4280,1.24E+16,1
"02/04/2023, 14:02:03",1,0,0,0.66555592580251,0,0,0,0,0,4.92E+17,9003,4288.66666666667,1.26E+16,1
"02/04/2023, 14:02:07",1,0,0,0.66555592580251,0,0,0,0,0,5.00E+17,9003,4301.33333333333,1.24E+16,1
"02/04/2023, 14:02:14",1,7592,7592,0.3610726122326,0,0,0,0,7592,4.87E+17,16595,4335.33333333333,1.08E+16,1
"02/04/2023, 14:02:25",1,9,9,0.664891256102974,0,0,0,0,9,5.13E+17,9012,4389.33333333333,1.28E+16,1
