time,switch_id,gfe,g_usip,rfip,disp_pakt,disp_byte,mean_pkt,mean_byte,gsp,avg_durat,avg_flow_dst,rate_pkt_in,disp_interval,label
"02/21/2023, 10:57:15",1,11,6,1,0,0,0,0,10,418588683.6,10,1195.666667,1.30E+17,5
"02/21/2023, 10:57:18",1,0,0,1,74.94598055,113318.3226,23.7,35834.4,0,4.19E+17,10,1195.666667,1.30E+17,5
"02/21/2023, 10:57:21",1,0,0,1,161.9086162,244805.8277,51.2,77414.4,0,4.19E+17,10,1195.666667,1.30E+17,5
"02/21/2023, 10:57:24",1,0,0,1,161.9086162,244805.8277,51.2,77414.4,0,4.29E+17,10,1196.333333,1.30E+17,5
"02/21/2023, 10:57:27",1,0,0,1,161.9086162,244805.8277,51.2,77414.4,0,4.30E+17,10,1196.333333,1.30E+17,5
"02/21/2023, 10:57:30",1,0,0,1,162.5410717,245762.1005,51.4,77716.8,0,4.34E+17,10,1196.333333,1.30E+17,5
"02/21/2023, 10:57:33",1,0,0,1,161.5923884,244327.6913,51.1,77263.2,0,4.35E+17,10,1196.333333,1.30E+17,5
"02/21/2023, 10:57:36",1,0,0,1,161.9086162,244805.8277,51.2,77414.4,0,4.49E+17,10,1196.333333,1.30E+17,5
"02/21/2023, 10:57:39",1,0,0,1,152.1055555,229983.5998,48.1,72727.2,0,4.47E+17,10,1196.333333,1.30E+17,5
"02/21/2023, 10:57:42",1,0,0,1,162.5410717,245762.1005,51.4,77716.8,0,4.56E+17,10,1196.333333,1.30E+17,5
"02/21/2023, 10:57:45",1,0,0,1,161.5923884,244327.6913,51.1,77263.2,0,4.54E+17,10,1196.333333,1.30E+17,5
"02/21/2023, 10:57:48",1,0,0,1,162.8572995,246240.2368,51.5,77868,0,4.73E+17,10,1196.333333,1.30E+17,5
"02/21/2023, 10:57:51",1,0,0,1,162.224844,245283.9641,51.3,77565.6,0,4.75E+17,10,1196.333333,1.30E+17,5
"02/21/2023, 10:57:54",1,0,0,1,161.5923884,244327.6913,51.1,77263.2,0,4.82E+17,10,1196.333333,1.30E+17,5
"02/21/2023, 10:57:57",1,0,0,1,161.9086162,244805.8277,51.2,77414.4,0,4.84E+17,10,1197,1.30E+17,5
"02/21/2023, 10:58:00",1,0,0,1,162.224844,245283.9641,51.3,77565.6,0,4.87E+17,10,1197,1.30E+17,5
"02/21/2023, 10:58:03",1,0,0,1,161.8737849,244753.1627,51.3,77565.6,0,4.87E+17,10,1197.333333,1.30E+17,5
"02/21/2023, 10:58:06",1,0,0,1,207.2833809,313412.4719,98.2,148478.4,0,4.89E+17,10,1197.666667,1.30E+17,5
"02/21/2023, 10:58:09",1,0,0,1,217.143066,328320.3158,103,155736,0,4.98E+17,10,1197.666667,1.30E+17,5
"02/21/2023, 10:58:12",1,0,0,1,216.299792,327045.2854,102.6,155131.2,0,4.99E+17,10,1197.666667,1.30E+17,5
"02/21/2023, 10:58:15",1,0,0,1,216.299792,327045.2854,102.6,155131.2,0,4.94E+17,10,1197.666667,1.30E+17,5
"02/21/2023, 10:58:18",1,0,0,1,215.4565179,325770.2551,102.2,154526.4,0,4.99E+17,10,1197.666667,1.30E+17,5
"02/21/2023, 10:58:21",1,0,0,1,232.5329367,351589.8003,110.3,166773.6,0,4.99E+17,10,1197.666667,1.30E+17,5
"02/21/2023, 10:58:24",1,0,0,1,186.9961675,282738.2053,88.7,134114.4,0,5.32E+17,10,1197.666667,1.30E+17,5
"02/21/2023, 10:58:27",1,0,0,1,215.4570336,325771.0348,102.2,154526.4,0,5.19E+17,10,1198.333333,1.30E+17,5
"02/21/2023, 10:58:30",1,0,0,1,216.7219417,327683.5758,102.8,155433.6,0,5.20E+17,10,1199,1.30E+17,5
"02/21/2023, 10:58:33",1,0,0,1,215.6674652,326089.2074,102.3,154677.6,0,5.27E+17,10,1199,1.30E+17,5
